Element	LineName	Orientation	Position
IS1	M180-27	+	7594
IS1	M101-037	-	11035
IS1	M35-009	-	42482
IS1	M88-19	+	75303
IS1	M88-44	-	83776
IS1	M88-19	+	84333
IS1	M91-15	+	84678
IS1	M35-039	-	84705
IS1	M88-27	+	85491
IS1	M133-022	+	154379
IS1	M133-020	-	155485
IS1	M101-013	+	161295
IS1	M6-7	+	290832
IS1	M180-32	+	293053
IS1	M35-069	-	317550
IS1	M88-10	+	318779
IS1	M94-38	+	377810
IS1	M88-16	+	399314
IS1	M35-004	-	401220
IS1	M61-32	-	414970
IS1	wt16	-	431673
IS1	M101-077	-	480454
IS1	M180-90	-	535220
IS1	M133-085	+	537033
IS1	M101-019	+	579323
IS1	M94-13	+	603627
IS1	M40-37	+	637896
IS1	M22-47	+	651354
IS1	M94-24	-	676048
IS1	M35-090	-	678186
IS1	M88-09	-	819897
IS1	M35-026	+	819959
IS1	M2m-15	-	875583
IS1	M133-056	+	915463
IS1	M2m-83	+	955517
IS1	M2m-25	-	986477
IS1	M133-073	-	996857
IS1	M180-96	+	1016986
IS1	M40-41	+	1031468
IS1	#M88-18	-	1049314
IS1	M88-64	-	1071695
IS1	wt83	+	1095049
IS1	M88-18	+	1103090
IS1	M91-19	-	1107603
IS1	M133-073	+	1108045
IS1	M133-056	-	1119478
IS1	M88-50	+	1168513
IS1	M88-37	+	1180206
IS1	M6-1	+	1196110
IS1	M6-1	+	1198468
IS1	M94-33	-	1208829
IS1	M2m-84	-	1278062
IS1	M40-72	+	1293106
IS1	wt-63	-	1298535
IS1	M101-069	-	1307695
IS1	M88-60	+	1314403
IS1	M2m-35	+	1333083
IS1	M2m-12	-	1333523
IS1	wt7	+	1371109
IS1	M133-071	+	1391916
IS1	M35-016	+	1431986
IS1	M101-029	-	1480237
IS1	M133-087	+	1484652
IS1	M35-069	-	1524995
IS1	M133-103	+	1529480
IS1	M88-30	-	1541563
IS1	M88-08	+	1543552
IS1	M94-12	-	1554589
IS1	M88-27	+	1584831
IS1	M40-55	+	1599005
IS1	M40-55	+	1611929
IS1	M88-36	-	1615003
IS1	M35-008	-	1621354
IS1	M101-023	-	1630351
IS1	M35-099	-	1647693
IS1	M101-019	-	1659520
IS1	M2m-44	-	1687922
IS1	M88-17	+	1696213
IS1	M101-009	-	1702189
IS1	M91-20	-	1728908
IS1	M101-075	+	1751513
IS1	M88-54	-	1751531
IS1	M91-08	+	1752298
IS1	M61-22	+	1752603
IS1	M101-075	+	1752892
IS1	M88-36	-	1771721
IS1	M101-039	-	1776544
IS1	M88-30	+	1777191
IS1	M88-45	+	1823991
IS1	M88-45	+	1853873
IS1	M35-090	+	1857238
IS1	M101-083	-	1905942
IS1	mutL54	-	1923445
IS1	M61-28	-	1949069
IS1	M2m-78	+	1950895
IS1	M88-43	-	1953080
IS1	M101-012	+	1956052
IS1	M88-27	+	1959940
IS1	M88-63	+	1963393
IS1	M88-35	+	1972916
IS1	M88-26	+	1975616
IS1	M88-32	+	1978907
IS1	M88-47	+	1987130
IS1	M88-61	+	1988532
IS1	M88-13	+	2097920
IS1	M133-032	-	2105551
IS1	M88-41	+	2127423
IS1	M35-008	-	2147228
IS1	M91-27	+	2149127
IS1	M2m-35	-	2149358
IS1	M88-62	+	2211087
IS1	M101-043	-	2232120
IS1	M88-11	-	2236555
IS1	M88-31	-	2253295
IS1	M2m-78	-	2272956
IS1	M101-019	+	2342314
IS1	M133-133	+	2379405
IS1	M133-133	+	2379567
IS1	M88-17	+	2421159
IS1	M101-003	-	2432818
IS1	M35-107	-	2472660
IS1	M133-016	+	2473070
IS1	M101-033	+	2475433
IS1	M91-29	-	2480126
IS1	M133-009	+	2481518
IS1	M2m-14	-	2484328
IS1	M180-96	+	2488911
IS1	M133-009	+	2489288
IS1	M88-20	-	2491631
IS1	M91-22	+	2507040
IS1	M101-047	-	2626709
IS1	M88-16	+	2627161
IS1	M91-30	-	2627540
IS1	wt-41	+	2651608
IS1	wt-65	-	2660634
IS1	M88-31	+	2698161
IS1	M88-45	-	2771275
IS1	M35-026	+	2802237
IS1	M40-29	+	2858396
IS1	M40-16	+	2873737
